# time (s), ax(cm/s^2), ay(cm/s^2), az(cm/s^2), distF (mm), distL (mm), distR (mm)
25.23,-43.68,-9.42,91.18,120.00,56.20,28.00
25.29,-43.92,-16.30,90.80,120.00,120.00,26.80
25.42,-31.43,3.53,84.67,120.00,54.30,32.70
25.49,-41.35,16.96,90.44,120.00,40.40,52.60
25.55,-44.93,-20.45,95.39,120.00,48.30,28.80
25.61,-36.99,15.89,86.10,120.00,39.30,88.60
25.74,-46.85,4.17,92.35,120.00,42.00,120.00
25.80,-39.56,-1.86,93.49,120.00,39.30,55.40
25.87,-40.63,12.43,91.46,120.00,41.20,72.40
25.93,-42.20,3.12,92.02,120.00,48.80,35.20
26.06,-40.39,-25.16,99.16,120.00,120.00,27.00
26.12,-35.49,-1.92,90.40,120.00,50.70,36.00
26.19,-41.38,-0.09,92.88,120.00,47.10,39.30
26.25,-36.79,7.51,98.66,120.00,39.40,94.80
26.38,-30.43,16.09,87.99,120.00,37.60,107.60
26.44,-32.29,-6.55,83.26,120.00,120.00,120.00
26.50,-48.83,12.16,99.87,120.00,37.90,86.90
26.57,-44.21,9.67,90.37,120.00,37.10,120.00
26.69,-44.85,-0.52,88.64,120.00,36.10,120.00
26.76,-48.54,16.60,90.80,120.00,32.10,102.40
26.82,-44.70,9.29,89.14,120.00,32.70,100.60
26.89,-45.39,15.48,86.83,120.00,37.70,87.30
27.01,-39.09,-50.39,92.08,120.00,120.00,32.00
27.08,-32.28,-30.36,98.91,120.00,120.00,32.60
27.14,-49.51,15.06,85.33,120.00,38.90,50.70
27.21,-46.77,-14.78,92.48,120.00,49.00,34.10
27.33,-43.26,7.48,86.12,120.00,41.90,39.40
27.40,-49.87,-6.58,90.41,120.00,120.00,34.30
27.46,-43.66,-0.32,87.84,120.00,42.00,34.70
27.53,-44.29,4.08,87.08,120.00,39.20,39.90
27.65,-49.01,-11.66,92.21,120.00,45.60,35.10
27.72,-38.78,6.38,87.57,120.00,40.60,88.70
27.78,-38.03,7.24,93.40,120.00,120.00,120.00
27.84,-37.12,-0.96,88.28,120.00,44.60,74.70
27.97,-41.28,-7.29,99.07,120.00,39.70,42.30
28.04,-49.10,8.49,93.01,120.00,33.80,49.90
28.10,-44.34,5.32,96.50,120.00,29.30,83.00
28.16,-52.87,9.07,88.90,120.00,28.80,54.70
28.29,-50.27,14.99,86.94,120.00,30.10,43.10
28.36,-45.94,-7.93,93.60,120.00,32.50,35.50
28.42,-41.35,-5.80,97.38,120.00,38.40,35.20
28.48,-40.33,-5.14,94.05,120.00,35.70,37.90
28.61,-44.26,15.09,88.77,120.00,27.40,90.70
28.68,-49.52,23.00,86.55,120.00,26.50,91.60
28.74,-46.68,-5.87,91.42,120.00,120.00,35.40
28.80,-35.41,-17.32,92.76,120.00,120.00,36.10
28.93,-41.30,6.79,92.14,120.00,31.40,40.90
28.99,-45.32,1.65,93.33,6.80,33.80,37.80
29.06,-40.83,-6.27,93.44,120.00,40.20,36.10
29.12,-40.22,-1.85,92.13,120.00,38.20,35.70
29.25,-42.90,-11.33,95.89,120.00,120.00,36.50
29.31,-36.52,-25.63,93.87,120.00,120.00,34.70
29.38,-26.79,13.00,91.94,120.00,30.80,40.60
29.44,-37.96,1.50,95.62,120.00,35.60,35.70
29.57,-35.24,-7.92,95.86,120.00,41.10,35.10
29.63,-35.83,0.32,95.04,120.00,36.40,46.40
29.69,-35.17,9.53,94.20,120.00,30.80,67.70
29.76,-36.53,1.09,97.57,120.00,38.00,37.60
29.89,-35.06,-3.06,95.14,120.00,43.10,36.10
29.95,-36.44,1.93,94.74,120.00,36.10,37.10
30.01,-37.16,3.44,94.84,120.00,32.40,43.50
30.08,-38.72,1.85,93.19,120.00,39.60,36.30
30.21,-37.04,-17.61,94.57,120.00,120.00,34.40
30.27,-37.77,-5.77,95.86,120.00,38.30,34.50
30.33,-37.08,3.03,95.59,120.00,35.20,40.50
30.40,-41.07,-10.46,95.81,120.00,43.70,32.60
30.53,-38.97,1.59,93.19,120.00,34.50,41.20
30.59,-39.84,4.95,92.91,120.00,35.60,42.70
30.65,-40.26,-9.71,96.10,120.00,43.00,35.20
30.72,-36.55,2.09,93.97,120.00,36.40,42.40
30.84,-39.31,2.56,94.79,120.00,35.60,40.30
30.91,-37.95,-9.17,95.89,120.00,120.00,34.10
30.97,-35.39,-10.44,95.47,120.00,120.00,33.80
31.04,-33.34,5.86,90.50,120.00,42.90,38.00
31.16,-38.90,-0.02,94.59,120.00,44.20,37.50
31.23,-41.02,-12.68,96.71,120.00,120.00,35.10
31.29,-32.83,0.92,91.28,120.00,50.10,36.20
31.35,-38.24,-6.97,95.14,120.00,61.40,31.80
31.48,-37.90,-11.91,94.54,120.00,120.00,33.00
31.55,-38.47,-14.83,95.17,120.00,60.10,33.70
31.61,-38.17,-1.67,93.27,120.00,44.20,34.10
31.67,-41.13,-7.32,94.54,120.00,120.00,33.80
31.80,-36.85,-12.34,93.89,120.00,120.00,33.40
