# time (s), ax(cm/s^2), ay(cm/s^2), az(cm/s^2), distF (mm), distL (mm), distR (mm)
23.06,-2.82,-7.39,102.70,29.70,4.30,4.80
23.12,-4.27,-7.47,102.09,28.60,4.90,5.30
23.19,-2.94,-7.34,101.96,28.90,4.80,5.30
23.31,-3.31,-9.32,102.31,29.00,4.90,4.50
23.38,2.19,-6.43,102.04,28.60,4.30,5.70
23.44,0.25,-6.27,101.76,28.50,4.60,5.70
23.51,-1.52,-8.09,101.85,28.40,4.20,5.10
23.63,-2.01,-8.23,101.60,29.30,4.80,5.40
23.70,-3.59,-8.50,102.28,28.50,4.80,4.90
23.76,-9.04,-7.53,102.20,28.80,4.80,5.20
23.83,-3.00,-9.63,102.87,29.00,4.70,5.50
23.95,-4.62,-10.94,99.82,28.20,4.60,4.30
24.02,-5.49,-8.98,97.37,29.30,4.70,4.60
24.08,2.64,-9.89,101.66,26.80,4.70,4.40
24.14,-2.40,-8.25,101.83,28.00,4.50,5.00
24.27,-3.52,-7.78,102.38,28.00,4.30,5.10
24.34,1.43,-8.62,102.11,29.50,4.80,4.50
24.40,-6.57,-10.19,101.50,28.40,5.00,5.00
24.46,0.24,-11.82,102.37,27.40,5.10,4.80
24.59,-0.40,-14.81,102.90,29.60,5.20,4.50
24.66,-8.03,-12.15,100.88,26.60,4.80,5.00
24.72,1.81,-7.63,104.75,29.20,5.00,4.70
24.85,-1.47,-9.47,101.51,30.60,5.10,4.80
24.91,-0.83,-9.21,101.73,27.20,5.50,4.20
24.98,-3.06,-9.74,102.06,28.60,4.80,4.50
25.04,-2.29,-8.57,102.34,28.20,4.90,4.60
25.17,-8.29,-5.31,103.10,30.60,5.00,4.60
25.23,-1.37,-4.96,103.27,28.50,4.80,5.10
25.29,-2.36,-11.96,103.09,21.40,4.80,5.00
25.36,-4.32,-13.67,98.26,23.10,5.40,4.30
25.48,-6.55,-3.55,102.40,25.40,5.00,4.80
25.55,-6.84,-9.33,101.63,23.80,5.10,4.60
25.61,-8.52,-8.46,100.29,26.90,4.80,4.30
25.68,-8.05,-8.09,101.26,24.80,5.80,4.30
25.80,-8.05,-9.07,100.71,27.30,5.50,4.80
25.87,-9.57,-9.50,102.90,27.40,5.40,4.30
25.93,-5.87,-7.14,102.27,25.10,5.60,4.40
25.99,-8.08,-7.17,100.26,24.40,5.40,4.50
26.12,-9.20,-8.03,101.70,24.70,5.30,5.10
26.19,-8.64,-7.57,101.01,23.20,5.30,4.80
26.25,-10.80,-6.95,101.46,24.80,5.20,4.60
26.31,-13.21,-7.68,101.35,23.00,5.30,5.00
26.44,-9.66,-7.19,103.06,22.00,5.50,4.80
26.50,-10.16,-7.83,101.78,22.20,4.90,4.90
26.57,-11.09,-7.32,101.46,22.00,4.90,4.50
26.63,-10.36,-1.29,100.68,21.00,5.20,4.30
26.76,-8.88,-4.12,98.52,20.90,4.90,5.10
26.82,-7.38,-3.23,101.55,21.00,4.80,4.60
26.89,-7.27,-3.11,101.98,19.80,4.80,4.40
26.95,-9.39,-4.86,101.54,19.90,5.10,4.40
27.08,-9.50,-4.91,101.53,19.70,5.10,4.70
27.14,-12.29,-1.81,101.02,19.40,4.90,4.80
27.27,-9.72,-4.92,102.39,19.20,4.90,4.80
27.33,-9.51,-4.72,102.13,18.90,4.30,5.30
27.40,-9.56,-4.32,102.66,19.20,4.30,5.20
27.46,-8.73,-3.02,100.05,19.00,4.70,4.50
27.59,-8.21,-1.16,98.82,18.50,5.50,4.70
27.65,-8.40,-4.84,101.49,18.50,6.00,4.50
27.72,-10.04,-6.40,101.29,18.70,6.30,5.60
27.78,-10.42,-5.46,101.43,19.00,6.50,4.50
27.91,-10.45,-5.45,101.36,18.60,6.30,5.40
27.97,-10.27,-5.45,101.29,18.90,6.30,4.80
28.03,-10.76,-5.08,101.45,19.10,5.80,5.40
28.10,-10.36,-5.13,101.32,19.00,6.20,4.90
28.22,-10.35,-5.10,101.18,19.20,6.50,5.00
28.29,-9.81,-5.72,101.23,20.10,6.10,5.50
28.35,-7.52,-3.80,101.59,18.00,5.80,5.50
28.42,-9.02,-2.62,100.72,17.60,5.00,4.50
28.54,-9.17,-0.84,100.96,17.70,5.50,5.00
28.61,-11.59,-2.89,102.00,18.60,5.20,5.50
28.67,-8.88,-2.83,101.56,18.70,5.90,4.30
28.74,-11.52,4.11,103.55,20.20,6.90,4.10
28.86,-15.81,-9.00,103.67,21.20,10.30,4.70
28.93,-16.00,-10.29,85.39,17.60,9.20,5.30
28.99,-20.54,-2.01,98.88,16.50,9.60,6.00
29.05,-12.23,2.58,102.37,15.10,20.70,5.40
29.18,-5.22,-5.27,101.81,14.10,120.00,6.20
29.25,-8.54,-1.96,102.42,14.10,70.00,6.20
29.31,-1.42,-0.35,100.02,13.10,120.00,5.80
29.37,5.31,-15.96,105.28,12.80,103.20,5.40
29.50,-13.35,-12.83,100.33,13.20,40.40,5.60
29.57,-13.95,-12.21,100.54,13.20,120.00,5.40
29.63,-15.47,-11.49,100.67,13.30,120.00,5.20
29.69,-6.73,-9.78,101.70,13.70,60.00,5.10
29.82,-8.73,-13.40,99.53,13.60,120.00,5.30
29.88,-14.32,-12.82,100.32,13.60,120.00,5.40
29.95,-14.04,-12.79,100.34,13.50,120.00,5.50
30.01,-13.98,-12.77,100.36,14.10,106.30,5.60
30.14,-14.17,-12.76,100.32,14.00,120.00,5.10
30.20,-14.09,-12.66,100.40,13.80,120.00,5.40
30.27,-14.22,-12.68,100.27,13.50,120.00,5.60
30.33,-14.13,-12.66,100.35,13.70,120.00,5.70
30.46,-14.15,-12.60,100.40,13.70,120.00,5.70
30.52,-14.20,-12.70,100.38,13.60,120.00,5.40
30.59,-14.14,-12.69,100.32,13.50,120.00,5.60
30.65,-14.23,-12.65,100.37,14.10,120.00,5.40
30.78,-14.12,-12.66,100.42,13.80,116.50,6.00
30.84,-14.19,-12.67,100.35,14.00,120.00,5.40
30.90,-14.17,-12.77,100.32,13.30,120.00,5.40
30.97,-14.14,-12.61,100.47,13.80,120.00,5.20
31.09,-14.23,-12.57,100.49,13.70,120.00,5.30
31.16,-14.09,-12.66,100.31,13.50,120.00,5.00
31.22,-14.26,-12.63,100.42,14.00,120.00,5.20
31.28,-14.20,-12.65,100.47,13.80,120.00,5.50
31.41,-14.09,-12.72,100.42,13.30,120.00,5.70
31.48,-14.28,-12.68,100.45,13.30,120.00,5.90
31.54,-14.09,-12.59,100.29,13.00,120.00,5.30
31.60,-14.11,-12.63,100.45,13.90,32.40,5.50
31.73,-14.14,-12.56,100.38,14.60,120.00,5.50
31.79,-14.26,-12.68,100.49,13.60,120.00,5.60
31.86,-14.09,-12.62,100.41,13.50,58.20,5.50
31.92,-14.14,-12.64,100.38,13.70,120.00,5.30
32.05,-14.18,-12.57,100.46,13.60,47.20,5.50
